team_name,run_diff,ops,whip,wins_last_10,games_last_7,park_factor
112,0.89,0.75,1.2,7,4,0.97
136,0.38,0.729,1.21,6,5,1.0
146,-0.58,0.703,1.22,7,6,1.01
139,0.25,0.712,0.81,4,6,1.0
143,0.81,0.754,1.06,5,3,1.01
118,0.04,0.697,1.22,6,6,1.0
117,0.11,0.705,1.81,4,6,1.01
158,1.0,0.725,1.29,4,4,1.01
116,0.4,0.72,0.89,5,4,0.91
120,-1.27,0.692,1.33,4,6,1.01
113,0.17,0.701,1.1,6,6,1.01
119,0.82,0.758,1.0,7,5,1.0
109,0.09,0.751,1.33,4,6,0.97
133,-0.48,0.746,1.35,5,6,1.0
147,0.98,0.782,1.16,7,5,1.0
135,0.5,0.704,1.18,8,5,0.97
115,-2.61,0.676,1.81,2,6,0.97
114,-0.01,0.664,1.19,6,6,0.97
140,0.5,0.679,1.35,2,6,0.97
108,-0.99,0.687,1.93,3,6,1.01
145,-0.65,0.668,1.25,2,6,1.01
144,-0.08,0.716,1.61,7,6,1.01
110,-0.68,0.692,1.0,4,6,1.0
137,0.06,0.69,1.25,5,6,0.97
134,-0.37,0.651,1.22,6,6,1.01
142,-0.56,0.702,1.32,4,6,1.01
138,-0.39,0.686,1.35,5,6,0.97
121,0.34,0.748,1.23,5,6,1.01
141,0.58,0.76,1.29,6,5,1.0
111,0.68,0.738,1.09,6,6,1.0
