venue_id,venue_name,park_factor
1,Angel Stadium,101.0
2,Oriole Park at Camden Yards,100.0
3,Fenway Park,104.0
4,Rate Field,99.0
5,Progressive Field,97.0
7,Kauffman Stadium,101.0
14,Rogers Centre,100.0
15,Chase Field,103.0
17,Wrigley Field,97.0
19,Coors Field,113.0
22,Dodger Stadium,101.0
31,PNC Park,99.0
32,American Family Field,97.0
680,T-Mobile Park,91.0
2392,Daikin Park,100.0
2394,Comerica Park,100.0
2395,Oracle Park,97.0
2523,George M. Steinbrenner Field,100.0
2529,Sutter Health Park,100.0
2602,Great American Ball Park,103.0
2680,Petco Park,97.0
2681,Citizens Bank Park,101.0
2889,Busch Stadium,100.0
3289,Citi Field,98.0
3309,Nationals Park,101.0
3312,Target Field,102.0
3313,Yankee Stadium,100.0
4169,loanDepot park,101.0
4705,Truist Park,101.0
5325,Globe Life Field,97.0
